Complaint ID,Date Received,Date Sent to Company,Product,Sub-product,Issue,Company,State,ZIP code,City,Company response to consumer,Timely response?,Consumer disputed?,Latitude,Longitude,Status
100021,2024-02-01,2024-01-28,mortgage,Rewards,Fees,Northstar Finance,CA,93538,N/A,Closed with explanation,N,Y,39.12877288911624,-84.43654602013513,Resolved
100022,2023-03-27,2023-05-25,Credit  Card,Adjustable loan,Collection harassment,United Credit,IL,68476,Atlanta,N/A,,,35.737200620059355,-102.46684008845648,Resolved
100023,2023-05-30,2023-05-27,Mortgage ,Interest rate,Collection harassment,FinServ Co,IL,999999,Columbus,N/A,Unknown,Yes,39.522104059169536,-102.30060613511867,Closed
100024,2024-04-07,2024-05-05,Student Loan,N/A,Fees,Northstar Finance,NC,00000, new york ,Closed with explanation,Unknown,Yes,35.52903878262292,-107.56297816129896,  
100025,2024-05-09,2024-05-10,Bank account,Fixed loan,Billing disputes,N/A,IL,11500,Unknown,N/A,Yes,N/A,37.93523230911865,-107.44821425239554,Closed
100026,2023-10-18,2023-10-19,CREDIT reporting,Rewards,Incorrect information,Northstar Finance,,00000,Houston,Closed,No,FALSE,31.270764941825256,-98.35605949774857,  
100027,2023-08-12,2023-09-20,MORTGAGE,Collections,Billing disputes,United Credit,IL,123,N/A,Unknown,FALSE,TRUE,42.93461716789794,-98.14304015753639,In Progress
100028,2023-06-23,2023-08-04,credit reporting,Rewards,Fees,Metro Loans,FL,123,Columbus,N/A,Unknown,Y,40.72699646050748,-114.37355266941164,In Progress
100029,2023-11-03,2023-11-05,credit card,Interest rate,Billing disputes,United Credit,FL,82720,New York,Closed with explanation,Unknown,,28.184274781270943,-75.41494676674137,Resolved
100030,2023-10-23,2023-12-20,Debt  collection,,Fees,FinServ Co,IL,123,Miami,N/A,FALSE,TRUE,46.45041662141349,-100.94516857163062,Open
100031,2023-05-28,2023-06-12, ,Fixed loan,Incorrect information,FinServ Co,  ,123,Atlanta,Closed with explanation,Yes,N,38.26598428241852,-97.69387722782811,In Progress
100032,2023-01-12,2023-01-27,bank Account,,Billing disputes,Metro Loans,FL,47745, new york ,Unknown,FALSE,N,40.63233677365137,-104.61237433413442,Closed
100033,2023-03-17,2023-03-31,credit reporting,Fixed loan,Unknown,Metro Loans,FL,37267,Detroit,Closed,Y,Y,44.851931704204304,-101.02009539091834,Unknown
100034,2024-04-24,2024-05-18,Mortgage ,,Fees,Acme Bank,Unknown,59843,Houston,In progress,,TRUE,41.79769569651989,-101.92878111244208,In Progress
100035,2023-07-29,2023-08-04,credit card,Fixed loan,Billing disputes,Northstar Finance,MI,  ,Atlanta,Unknown,TRUE,FALSE,47.6564221092263,-98.3793042582526,Open
100036,2023-08-30,2023-09-21,Student Loan,Rewards,Other,Acme Bank,TX,13977,Chicago,,No,,37.446931344562124,-98.49589910428114,Open
100037,2023-08-22,2023-08-30,Credit card ,Rewards,Collection harassment,Unknown,N/A,49342,Miami,N/A,,N,46.74100570358928,-90.3013365145893,Unknown
100038,2024-01-27,2024-01-25,Student Loan,,Collection harassment,Northstar Finance,TX,00000,LOS ANGELES,Closed with explanation,Unknown,Y,40.36047232465125,-96.07780062901223,Open
100039,2023-02-02,2023-02-20,student loan,Rewards,Identity theft,United Credit,TX,38347,miami,Closed,TRUE,TRUE,43.05343397154684,-91.30716979600496,Open
100040,2023-02-11,2023-03-21,Credit Reporting,Adjustable loan,Collection harassment,Unknown,OH,123,Houston,N/A,,TRUE,42.32540420958533,-98.44810821805434,Closed
100041,2023-05-18,2023-07-01,Unknown,Rewards,Fees,N/A,MI,24761,Detroit,Closed with explanation,Yes,Y,48.18511227716668,-96.03747444894108,Closed
100042,2023-09-01,2023-09-18,credit reporting,Adjustable loan,Incorrect information,N/A,TX,35433,Columbus,In progress,Y,Yes,44.54988661491505,-100.76305682683271,Open
100043,2023-12-02,2023-12-18,Credit  Card,Collections,Billing disputes,Acme Bank,,36889,Philadelphia,Closed,No,Y,999.0,-88.3188826566235,Unknown
100044,2023-09-03,2023-10-19,Debt Collection,Interest rate,Fees,Metro Loans,TX,33336,LOS ANGELES,Closed,Y,Yes,35.01113069200107,-95.12377570484075,Open
100045,2023-08-09,2023-09-17,,Fixed loan,Collection harassment,Metro Loans,,40930,Chicago,,N,Yes,39.15172096683617,-99.930748545129,  
100046,2024-04-13,2024-06-01,N/A,N/A,Billing disputes,United Credit,CA,ABCDE,miami,,N,N/A,34.17928991244527,-100.2291013455132,Unknown
100047,2023-03-22,2023-05-14,student loan,Rewards,Billing disputes,Unknown,OH,71273,Columbus,,Y,,32.13465459071557,-99.44239341246997,Resolved
100048,2023-10-13,2023-11-30,Student  loan,Rewards,Incorrect information,FinServ Co,NC,40420,Los Angeles,,TRUE,Yes,24.603632714913708,-98.04556076322967,Open
100049,2023-09-29,2023-11-23,Student Loan,Interest rate,Fees,Northstar Finance,FL,77927,miami,,No,Y,28.65516069519903,-98.9136110121892,  
100050,2023-08-25,2023-09-16,Mortgage ,,Incorrect information,United Credit,NC,00000, ,Closed,Y,Y,53.39784452778067,-103.9384165521136,Closed
100051,2024-02-08,2024-02-28,Credit card ,Adjustable loan,Incorrect information,United Credit,MI,67642,Detroit,In progress,,N/A,34.90449825259156,-90.70099444731738,In Progress
100052,2023-05-14,2023-05-29,,Collections,Identity theft,Unknown,MI,62520,LOS ANGELES,Closed with explanation,TRUE,N,52.82422209874802,-90.06924007451829,Closed
100053,2024-04-21,2024-05-01,Debt  collection,Rewards,N/A,Acme Bank,PA,93056,Houston,Unknown,Yes,Y,42.32208220808906,-80.51143162099252,  
100054,2023-06-15,2023-07-28,Credit card ,,Billing disputes,FinServ Co,,33013,Philadelphia,,Y,FALSE,39.15169384854727,-104.38629710644761,Resolved
100055,2023-09-30,2023-11-10,credit reporting,Rewards,,Unknown,,98413,Philadelphia,Closed with explanation,,N,28.995764182251364,-91.68561274847893,Open
100056,2023-09-18,2023-11-04,CREDIT reporting,Collections,Collection harassment,Metro Loans,IL,28577,miami,Closed,No,No,39.53268226903234,-117.44137316282682,In Progress
100057,2024-02-29,2024-03-05,Debt Collection,Interest rate,Collection harassment,N/A,,22440,Philadelphia,Closed,Unknown,Y,52.745286368777606,-90.05956934978111,  
100058,2023-08-08,2023-09-03,Student Loan,N/A,Incorrect information,FinServ Co,N/A,84371,LOS ANGELES,,Y,No,50.403457208117175,-112.91582115007185,Unknown
100059,2023-05-23,2023-06-01,Unknown,Adjustable loan,Billing disputes,Unknown,  ,90635,Miami,Unknown,FALSE,FALSE,41.41967056888305,-108.19331103572284,Unknown
100060,2023-01-11,2023-03-05,Credit card ,Interest rate,Incorrect information,Northstar Finance,,18345,Detroit,Closed,N,N/A,31.459321438664887,-95.02774670984181,Open
100061,2023-07-01,2023-07-13,Mortgage ,Adjustable loan,Other,Acme Bank,,00000,Unknown,Closed with explanation,FALSE,,32.79984258325594,-104.56499035422311,Unknown
100062,2024-02-18,2024-02-22,BANK ACCOUNT,Rewards,Identity theft,N/A,  ,56153,Charlotte,In progress,,N,33.53185709625278,-105.9335351000291,Resolved
100063,2023-01-05,2023-02-06,CREDIT CARD,Interest rate,Incorrect information,Northstar Finance,IL,29809,Los Angeles,N/A,No,N,48.4470844915389,-103.19816022498345,  
100064,2024-03-24,2024-05-15,credit card,Collections,Fees,Acme Bank,,  ,LOS ANGELES,Closed with explanation,Y,Yes,50.92204305276131,-91.05374008081473,In Progress
100065,2023-09-29,2023-11-22,BANK ACCOUNT,Adjustable loan,Identity theft,FinServ Co,TX,71719,New York,In progress,TRUE,Y,40.8712498447731,-107.67890396417744,Resolved
100066,2023-03-12,2023-03-13,Student Loan,Adjustable loan,Incorrect information,Metro Loans,PA,61671,N/A,N/A,Y,Yes,37.378436951337925,-98.89154864222536,Closed
100067,2023-06-01,2023-06-17,Student Loan,,Unknown,N/A,Unknown,56777,,,N,FALSE,50.340973476626885,-102.13656284539336,Resolved
100068,2023-10-05,2023-10-09,Student  loan,Rewards,Incorrect information,Northstar Finance,FL,89707,Detroit,Closed,Unknown,N/A,32.649985213945314,-90.15109228670985,Closed
100069,2023-06-07,2023-06-22,Student  loan,Adjustable loan,Collection harassment,Acme Bank,  ,30297,Unknown,Closed,No,No,39.86276329320256,-89.87078245917156,In Progress
100070,2023-02-24,2023-03-25,Bank account,Interest rate,Fees,Acme Bank,PA,66151,miami,In progress,No,FALSE,42.74076199682291,-116.70281797436112,In Progress
100071,2023-11-29,2023-12-12,Debt  collection,Fixed loan,Billing disputes,United Credit,TX,123,Houston,Closed,TRUE,TRUE,33.460395749765205,-87.89890581235684,Unknown
100072,2023-12-03,2023-12-02,Credit Reporting,Adjustable loan,Billing disputes,Acme Bank,CA,97626,LOS ANGELES,,Yes,N,35.04860045026085,-104.45755906458811,Resolved
100073,2023-03-01,2023-03-29,MORTGAGE,Rewards, ,United Credit,GA,32638,Columbus,Unknown,Yes,FALSE,34.50383694568678,-95.98707801403326,Resolved
100073,2023-05-21,2023-05-19,Credit card ,Rewards,Other,United Credit,OH,88420,,Closed,,FALSE,49.4170879919166,-107.73908740383295,Closed
100075,2023-05-02,2023-05-11,Student Loan,,Billing disputes,Metro Loans,GA,66890,,In progress,Y,Y,52.900570939399614,-94.63865397290216,In Progress
100076,2023-11-26,2023-11-21,Mortgage ,Rewards,Billing disputes,N/A,NY,ABCDE,N/A,N/A,Yes,,40.30354771165592,-72.83651046378898,In Progress
100077,2024-01-01,2024-01-01,CREDIT reporting,,Collection harassment,United Credit,FL,00000,Atlanta,,FALSE,FALSE,37.622469890700486,-97.07834438714967,  
100078,2023-12-30,2024-01-22,debt collection,N/A,Incorrect information,Metro Loans,NY,123,Chicago,Closed,N,Y,35.30111247504693,-102.94847717646357,Closed
100079,2024-04-14,2024-06-03, ,Fixed loan,Identity theft,Acme Bank,IL,123,Houston,Closed,N,FALSE,39.5122241941523,-100.67161234675541,Open
100080,2024-01-20,2024-03-05,credit card,Adjustable loan,Identity theft,United Credit,Unknown,41029,Houston,N/A,N,FALSE,35.64844773994247,-113.04029957238019,Resolved
100081,2023-06-10,2023-06-11,BANK ACCOUNT,,Fees,FinServ Co,TX,  ,Unknown,,No,Yes,38.82078830351345,-83.86036713835541,  
100082,2023-02-23,2023-02-20,Debt Collection,N/A,,FinServ Co,MI,45235,N/A,Closed,,No,42.392629761027464,-95.22116892403389,  
100083,2023-11-04,2023-11-20,Debt Collection,Rewards,Fees,Metro Loans,NY,123,Philadelphia,In progress,Yes,Y,36.662809400467424,-108.83897906297847,  
100083,2024-04-03,2024-05-10,Mortgage ,N/A,Identity theft,FinServ Co,GA,00000,Atlanta,Unknown,N,Yes,38.17288356170132,-108.51318290128752,In Progress
100085,2024-05-02,2024-06-14,CREDIT reporting,N/A,Fees,Metro Loans,N/A,  ,Houston,In progress,Y,N,38.201818604493866,-98.19717620851173,Closed
100086,2023-04-26,2023-06-13,debt collection,Rewards,Other,Acme Bank,IL,30925,Detroit,Unknown,FALSE,N,37.277055956917025,-89.03004606661513,Resolved
100087,2023-04-29,2023-05-16,Credit Reporting,Rewards,Identity theft,FinServ Co,TX,37613,Columbus,N/A,TRUE,,36.40986486088652,-109.85989908736971,Open
100088,2023-01-19,2023-01-24,Unknown,,Incorrect information,United Credit,GA,30010,miami,,N,No,44.83537622055764,-87.21590658132828,Unknown
100089,2023-03-12,2023-03-08,credit card,Rewards,Billing disputes,N/A,FL,999999,New York,N/A,TRUE,TRUE,27.1048477971649,-99.26633551956903,  
100090,2023-10-05,2023-10-09,Credit Reporting,Collections,Fees,N/A,N/A,44324,Unknown,,No,FALSE,50.519959013008844,-107.65243385007096,Resolved
100091,2023-10-01,2023-09-30,Credit  Card,Rewards,Billing disputes,United Credit,  ,46438,New York,,No,N,40.44870624242098,-103.02690426572977,Closed
100092,2023-07-05,2023-08-24,Mortgage ,Collections,Identity theft,Unknown,MI,70481,Columbus,Closed,Unknown,N/A,43.770123031905605,-80.8644612287029,Closed
100093,2023-06-04,2023-06-16,Credit Reporting,Interest rate,Collection harassment,Metro Loans,NC,00000,Philadelphia,,TRUE,Y,44.57554448204213,-112.23213336545336,Unknown
100094,2024-02-19,2024-04-07,,Rewards,Billing disputes,United Credit,NC,00000,LOS ANGELES,Closed with explanation,FALSE,N,34.543585879786,-105.66892955946146,Open
100095,2023-08-19,2023-09-18,credit reporting,Rewards,Other,United Credit,,999999, new york ,Closed,Unknown,Yes,33.09949010674531,-88.82416415365078,Open
100096,2024-02-09,2024-03-10,Debt Collection,Interest rate,Incorrect information,Unknown,OH,97849,Chicago,Closed with explanation,Unknown,N,32.27411500742321,-96.18542956546365,In Progress
100097,2024-04-26,2024-05-20,Student Loan,Fixed loan,Incorrect information,Northstar Finance,Unknown,90984,Atlanta,Closed with explanation,TRUE,Yes,37.77052379119988,-106.26240818258051,Closed
100098,2023-06-08,2023-07-26,MORTGAGE,Rewards,Fees,Acme Bank,IL,28217,Charlotte,Unknown,,N/A,44.3944328408572,-88.70206763635176,  
100099,2023-04-12,2023-04-09,Student Loan,,Fees,FinServ Co,NY,24402,Atlanta,Closed with explanation,TRUE,No,35.41366582345423,-88.22704266830819,Open
100100,2024-04-21,2024-04-22,Debt  collection,Collections,Incorrect information, ,MI,45356,New York,Closed,No,,43.75552148124813,-95.03609331481918,  
100101,2023-11-14,2023-12-06,credit card,Adjustable loan,Other,N/A,MI,85182,Houston,In progress,TRUE,Yes,22.924551467971607,-104.47396587583513,  
100102,2023-05-26,2023-06-15,,N/A,Other,Unknown,Unknown,123,Charlotte,Unknown,Unknown,Y,36.80102958617325,-102.93304619834358,Closed
100103,2023-11-07,2023-12-07,Debt Collection,Collections,Identity theft,Unknown,PA,73235,Miami,Unknown,Unknown,Yes,47.669961573280936,-95.503239347016,Resolved
100104,2023-09-15,2023-10-27,mortgage,Collections,Collection harassment,N/A,PA,00000,Charlotte,,TRUE,Y,38.30320097676945,-111.46929061213379,  
100105,2024-03-28,2024-04-30,debt collection,Interest rate,Identity theft,N/A,GA,31032,Houston,Closed with explanation,Unknown,TRUE,33.695994546836836,-85.07215118866887,Unknown
100106,2023-05-08,2023-05-19,Debt  collection,Collections,Unknown,Unknown,PA,63304,LOS ANGELES,Closed with explanation,No,N,34.90209744503682,-81.34790911324161,  
100107,2024-05-10,2024-05-26,credit card,Fixed loan,Identity theft,FinServ Co,,26588,Chicago,In progress,Yes,TRUE,18.303842058522502,-100.7095484984027,Unknown
100108,2024-04-13,2024-05-26,CREDIT CARD,N/A,Identity theft,Acme Bank,PA,58567, new york ,Closed,N,,32.41738620711656,-94.78895507569193,Open
100109,2023-04-01,2023-04-09,Student Loan,Fixed loan,Collection harassment,Unknown,,27437,,Closed with explanation,No,Yes,46.90068960758808,-86.49197957150673,Resolved
100110,2023-03-24,2023-04-20,MORTGAGE,Collections,Collection harassment,Northstar Finance,PA,00000,Philadelphia,N/A,Unknown,N,35.42178063172638,-78.7943916143231,  
100111,2023-09-24,2023-10-24,Bank account,Adjustable loan,Billing disputes,FinServ Co,FL,97055,Houston,In progress,Yes,TRUE,36.24818946599142,-82.78018664509301,Closed
100112,2023-01-23,2023-03-07,bank Account,Rewards,Fees,Acme Bank,Unknown,ABCDE,New York,In progress,TRUE,TRUE,23.177314690745145,-115.70537513358792,Closed
100113,2023-05-30,2023-07-10,bank Account,Rewards,Incorrect information,Northstar Finance,GA,71678,Philadelphia,Closed with explanation,,No,28.084135448212066,-101.50553688327518,Open
100114,2023-08-06,2023-08-31,debt collection,N/A,Fees,Northstar Finance,MI,66294,Los Angeles,In progress,Yes,No,47.830344250198266,-93.34311748516781,Unknown
100115,2024-04-29,2024-05-14,Debt  collection,,Fees, ,NC,31599,Unknown,In progress,Yes,N,43.821058564630924,-103.2921729690193,Unknown
100116,2024-05-11,2024-05-29,Student  loan,Adjustable loan,Other,Acme Bank,PA,61449,N/A,Closed,TRUE,FALSE,30.41792677992398,-80.52233254959634,Open
100117,2023-03-17,2023-04-07,CREDIT reporting,Collections,Other,Acme Bank,Unknown,77326,N/A,Unknown,Unknown,N/A,35.08599325898746,-82.05624827197367,Closed
100118,2024-03-21,2024-03-30,mortgage,Rewards,Fees,Metro Loans,PA,58554,Unknown,,Yes,Y,39.29579359900852,999.0,In Progress
100119,2023-02-15,2023-03-22,BANK ACCOUNT,Rewards,Collection harassment,FinServ Co,Unknown,  ,Detroit,,Yes,TRUE,31.127105874902707,-99.97400019905723,Unknown
100120,2024-01-10,2024-01-18,CREDIT reporting,Fixed loan,Other,Metro Loans,OH,45271,Philadelphia,Unknown,Unknown,Y,25.47099281540479,-105.84554136189637,  
100121,2024-02-27,2024-04-04, ,Collections,Identity theft,N/A,NY,123,Atlanta,Unknown,TRUE,Yes,38.38552728792395,-100.3012844410617,Unknown
100121,2024-03-21,2024-05-03,Student Loan,N/A,Collection harassment,N/A,NY,32919,Miami,Closed with explanation,FALSE,N,43.508259935212685,-100.60432349333382,  
100123,2023-04-22,2023-06-18,Debt  collection,,Collection harassment,Metro Loans,Unknown,96525,,In progress,Y,Y,43.643001238109676,-88.80742085253141,Resolved
100124,2024-03-22,2024-03-24,CREDIT reporting,Interest rate,Billing disputes,United Credit,GA,77978,Columbus,Closed with explanation,Y,No,45.626661698795026,-107.23464663733834,Closed
100125,2023-02-27,2023-04-12,bank Account,,Other,N/A,PA,90120,Columbus,N/A,N,FALSE,28.625099167541237,-124.51749604955764,Resolved
100126,2023-09-17,2023-09-17,Student  loan,Fixed loan,Collection harassment,Acme Bank,  ,55860,LOS ANGELES,Unknown,No,Y,39.90531336878857,-114.39543082234819,In Progress
100127,2023-08-23,2023-09-08,Credit  Card,,Incorrect information,Northstar Finance,NC,30136,Philadelphia,Unknown,N,No,37.62084045039615,-108.6330161270673,Unknown
100128,2023-06-07,2023-06-13,CREDIT CARD,Interest rate,Incorrect information,N/A,MI,13054,Philadelphia,Closed with explanation,Unknown,N,38.88945520151965,-104.9069158899707,In Progress
100129,2023-01-12,2023-01-17,credit reporting,Rewards,Incorrect information,United Credit,MI,58142,Chicago,N/A,FALSE,N/A,38.01752856456104,-96.47825599384787,  
100129,2024-01-22,2024-01-28,bank Account,Rewards,Other,Acme Bank,TX,45918,Los Angeles,,,FALSE,34.87686273574739,-109.14793905528859,Closed
100131,2023-06-17,2023-06-14,N/A,N/A,Other,Acme Bank,CA,20231,New York,Closed with explanation,N,N,18.375466820490765,-110.46100590259931,  
100132,2023-11-27,2024-01-14,Credit  Card,Rewards,Collection harassment,FinServ Co,,93573,Columbus,N/A,,,-200.0,-107.6444741765211,In Progress
100133,2023-07-25,2023-07-23,mortgage,N/A,Fees,United Credit,NY,  ,N/A,Closed,N,Yes,41.809931158325625,-109.5065400115978,In Progress
100134,2023-07-06,2023-07-26,Student  loan,,Billing disputes,Acme Bank,,43650,Miami,,TRUE,Y,29.109971487244447,-103.89493744295645,  
100135,2024-03-19,2024-04-28,Mortgage ,Interest rate,Other,Unknown,CA,00000, new york ,N/A,FALSE,TRUE,42.81192157094929,-104.32287395895065,In Progress
100136,2023-02-17,2023-04-17,Bank account,N/A,Billing disputes,Metro Loans,FL,47190,Philadelphia,Unknown,,N,36.36886635098971,-91.45943183026189,Open
100137,2024-01-04,2024-02-23,MORTGAGE,Interest rate,Identity theft,N/A,MI,54712,Miami,N/A,Unknown,FALSE,36.56719378507589,-108.24529385069621,In Progress
100138,2024-01-09,2024-01-12,Mortgage ,Interest rate,Billing disputes,N/A,NC,66155,Houston,,Yes,FALSE,-200.0,-101.92596628329771,Unknown
100139,2023-07-09,2023-09-06,Credit  Card,Collections,Other,United Credit,,47478,Detroit,Closed,,N,43.25851330856585,-103.80022679916769,Unknown
100140,2023-05-12,2023-06-18,credit reporting,Adjustable loan,Incorrect information,N/A,NC,82149, new york ,Unknown,FALSE,N/A,33.90123499938661,-90.26115023962431,Resolved
100141,2023-01-03,2023-01-09,credit reporting,Adjustable loan,Identity theft,Unknown,NY,27040,Philadelphia,In progress,FALSE,N/A,31.822157197365797,-99.89279276017703,Resolved
100142,2024-04-13,2024-05-07,CREDIT CARD,Interest rate,Billing disputes,N/A,  ,70160,Charlotte,N/A,Yes,N,47.422213674241966,-87.84303276600805,Closed
100143,2024-04-18,2024-06-11,MORTGAGE,Collections,Incorrect information,Northstar Finance,FL,98480,Atlanta,Unknown,N,N/A,38.247830131632924,-109.87370176004808,  
100144,2023-05-01,2023-05-21,Unknown,Rewards,Collection harassment,N/A,CA,00000,N/A,Closed,Unknown,FALSE,38.467595270054545,-98.8436660843482,Resolved
100145,2023-01-16,2023-01-22,debt collection,Interest rate,Other,Unknown,N/A,999999,LOS ANGELES,,Unknown,No,44.347248841936654,-104.10891017029932,Open
100146,2023-03-03,2023-04-23,student loan,Fixed loan,Fees,Acme Bank,TX,20257,Charlotte,Unknown,No,Yes,34.826893094076766,-110.61046097885603,Unknown
100147,2023-02-03,2023-03-31,mortgage,Fixed loan,Fees,Northstar Finance,GA,66585,Los Angeles,In progress,N,Yes,36.222927791471804,-400.0,Unknown
100147,2024-02-20,2024-04-18,Credit card ,Collections,N/A,N/A,OH,  ,Atlanta,N/A,,No,41.64000688805985,-81.02072241764776,Open
100149,2024-03-21,2024-05-17,MORTGAGE,Interest rate,Other,Acme Bank,,  ,Columbus,N/A,Unknown,Y,28.71035678275364,-106.87908802926133,In Progress
100150,2023-03-18,2023-05-08,Bank account,Collections,Identity theft,FinServ Co,NY,91352,miami,In progress,Y,Yes,41.0476933273775,-99.62454981837766,  
100151,2024-01-09,2024-02-02,Credit  Card,,Other,Acme Bank,CA,23475,Miami,N/A,,TRUE,34.21001978573043,-111.4723161959255,  
100152,2023-03-31,2023-04-07,Student  loan,Adjustable loan,Fees,FinServ Co,PA,56722,N/A,N/A,,N,45.48830814718604,-112.94227771904009,Closed
100153,2023-07-03,2023-08-07,credit card,Interest rate,Other,N/A,OH,75328,Detroit,Unknown,No,TRUE,43.32664328794936,-106.222523293429,Open
100154,2023-10-27,2023-11-05,Credit card ,Fixed loan,Billing disputes,Metro Loans,  ,ABCDE,Houston,Closed,Yes,TRUE,42.401838498825214,-102.8498301162918,Unknown
100155,2023-12-26,2024-01-20,Debt  collection,Collections,Billing disputes,Northstar Finance,NC,79931,Columbus,Closed with explanation,Yes,Y,28.2512894601181,-102.40583040931149,Unknown
100156,2024-03-13,2024-04-19,Unknown,Rewards,Other,United Credit,TX,  ,Unknown,In progress,No,TRUE,38.77623223378326,-100.61025015079225,  
100157,2023-01-23,2023-03-20,Mortgage ,Fixed loan,Collection harassment,Unknown,Unknown,00000,Miami,Unknown,FALSE,N/A,31.259134077100057,-114.8333264070337,Resolved
100158,2023-04-09,2023-04-22,mortgage,Interest rate,Identity theft,Unknown,OH,50314,LOS ANGELES,Closed with explanation,N,Y,39.24195267916082,-104.60946211506972,  
100159,2023-05-21,2023-06-01,Credit card ,Fixed loan,Other,Northstar Finance,Unknown,94588,miami,,FALSE,Y,23.293042261771827,-93.33241526596325,In Progress
100160,2023-06-05,2023-07-17,BANK ACCOUNT,N/A,Billing disputes,Metro Loans,Unknown,  ,LOS ANGELES,In progress,Yes,TRUE,28.7141741213733,-111.93245072894537,  
100161,2024-05-14,2024-05-09,N/A,Fixed loan,Collection harassment,FinServ Co,NY,39373,Los Angeles,Closed,TRUE,,47.823235261881315,-101.9014569484507,Closed
100161,2024-01-24,2024-02-24,CREDIT CARD,,Unknown,N/A,GA,11977,Philadelphia,In progress,FALSE,TRUE,42.083372232045924,-95.42156240061932,Open
100163,2023-06-10,2023-07-23,debt collection,Adjustable loan,Billing disputes,N/A,PA,00000,Philadelphia,Unknown,Unknown,,37.02328906764233,-106.17266922023668,Closed
100164,2024-04-30,2024-05-30,credit reporting,N/A,Collection harassment,Northstar Finance,OH,98280,Philadelphia,,Y,Yes,33.138796741196444,-94.93475603839151,Closed
100165,2023-09-07,2023-09-26,mortgage,,Other,Unknown,IL,86290,Unknown,N/A,TRUE,Yes,31.910222576890348,-113.5612627938503,Closed
100166,2023-09-08,2023-10-26,Credit Reporting,N/A,Billing disputes,Northstar Finance,GA,33322,New York,N/A,N,N,40.90109028561968,-89.46550427067794,In Progress
